satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
3,3,1,2,3,3,3,Non,13 %,32,F,2370,Marié(e),Consulting,Consultant,1,8,8,0,Non,1,4,1,2,3,Transformation Digitale,Occasionnel,0,7
1,3,3,3,2,1,4,Non,21 %,48,F,12504,Marié(e),Commercial,Senior Manager,3,15,0,0,Non,1,3,1,29,1,Transformation Digitale,Occasionnel,0,0
3,4,2,1,1,3,3,Oui,13 %,37,M,5974,Divorcé(e),Consulting,Assistant de Direction,4,13,7,7,Non,2,2,1,6,3,Transformation Digitale,Occasionnel,6,7
4,3,2,3,2,4,3,Oui,12 %,30,F,4736,Marié(e),Commercial,Cadre Commercial,7,4,2,2,Non,1,2,1,25,2,Entrepreunariat,Aucun,2,2
3,3,2,3,2,3,3,Non,17 %,26,M,5296,Marié(e),Commercial,Cadre Commercial,1,8,8,7,Non,1,3,1,1,3,Infra & Cloud,Occasionnel,7,7
1,2,2,4,2,3,4,Non,23 %,42,M,6781,Célibataire,Consulting,Manager,3,14,1,0,Non,0,6,1,2,4,Autre,Occasionnel,0,0
1,2,1,2,3,3,3,Oui,11 %,21,F,2174,Célibataire,Commercial,Représentant Commercial,1,3,3,2,Oui,0,3,1,1,1,Entrepreunariat,Frequent,1,2
4,3,2,4,2,3,3,Non,15 %,36,F,6653,Célibataire,Commercial,Cadre Commercial,4,7,1,0,Non,0,6,1,1,5,Transformation Digitale,Aucun,0,0
1,2,3,4,1,3,3,Non,11 %,36,M,9699,Marié(e),Commercial,Cadre Commercial,4,16,13,9,Non,1,2,1,3,4,Transformation Digitale,Frequent,1,12
4,3,2,3,3,3,3,Non,11 %,57,M,6755,Marié(e),Consulting,Manager,2,15,3,2,Non,0,2,1,1,4,Transformation Digitale,Occasionnel,1,2
4,4,1,3,3,3,3,Oui,13 %,40,F,2213,Marié(e),Consulting,Consultant,3,10,7,7,Non,1,3,1,10,4,Infra & Cloud,Occasionnel,1,7
1,3,1,4,3,2,4,Non,24 %,21,M,2610,Célibataire,Commercial,Représentant Commercial,1,3,3,2,Non,0,3,1,9,2,Transformation Digitale,Aucun,2,2
4,3,1,3,2,3,3,Oui,13 %,33,F,2851,Célibataire,Commercial,Représentant Commercial,1,1,1,0,Oui,0,2,1,5,3,Marketing,Occasionnel,0,0
3,3,1,1,2,3,4,Non,20 %,37,F,3452,Marié(e),Consulting,Consultant,6,17,5,4,Non,1,3,1,10,3,Transformation Digitale,Occasionnel,0,3
3,3,2,3,3,4,3,Non,14 %,46,F,5258,Marié(e),Consulting,Tech Lead,2,7,1,0,Non,0,2,1,7,4,Transformation Digitale,Aucun,0,0
1,3,2,2,3,3,3,Non,18 %,41,M,9355,Célibataire,Commercial,Cadre Commercial,1,8,8,7,Oui,0,5,1,4,3,Marketing,Frequent,7,7
4,2,3,4,4,3,3,Non,15 %,50,M,10496,Célibataire,Consulting,Manager,6,20,4,3,Non,0,2,1,10,3,Entrepreunariat,Occasionnel,1,3
3,2,2,3,1,3,3,Oui,12 %,40,M,6380,Marié(e),Commercial,Cadre Commercial,2,8,6,4,Oui,2,6,1,22,2,Marketing,Occasionnel,1,0
3,2,1,2,4,3,3,Oui,16 %,31,M,2657,Célibataire,Consulting,Assistant de Direction,0,3,2,2,Non,0,5,1,9,4,Infra & Cloud,Occasionnel,2,2
3,4,1,2,4,3,3,Non,15 %,21,F,2716,Célibataire,Commercial,Représentant Commercial,1,1,1,0,Oui,0,0,1,12,3,Infra & Cloud,Occasionnel,0,0
4,3,1,4,4,3,3,Non,16 %,29,M,2201,Célibataire,Consulting,Assistant de Direction,9,6,3,2,Non,0,4,1,23,3,Infra & Cloud,Occasionnel,1,2
3,2,2,2,3,3,3,Non,19 %,35,M,6540,Célibataire,Consulting,Manager,9,10,1,1,Non,0,5,1,9,4,Infra & Cloud,Occasionnel,0,0
4,3,1,2,2,3,3,Non,11 %,27,M,3816,Divorcé(e),Consulting,Consultant,1,5,5,2,Non,1,2,1,1,2,Transformation Digitale,Occasionnel,0,4
2,3,2,4,4,3,3,Non,16 %,28,M,5253,Célibataire,Commercial,Cadre Commercial,1,7,7,5,Non,0,1,1,9,4,Infra & Cloud,Occasionnel,0,7
2,2,3,3,3,3,4,Non,24 %,49,M,10965,Célibataire,Consulting,Manager,8,26,5,2,Non,0,2,1,7,3,Autre,Occasionnel,0,0
3,3,2,4,3,2,3,Non,11 %,51,F,4936,Marié(e),Commercial,Cadre Commercial,4,18,7,7,Non,1,2,1,14,2,Infra & Cloud,Occasionnel,0,7
4,3,1,3,2,3,3,Non,13 %,36,F,2543,Marié(e),Consulting,Assistant de Direction,4,6,2,2,Non,1,3,1,2,3,Infra & Cloud,Occasionnel,2,2
1,4,2,4,2,2,3,Oui,13 %,34,M,5304,Célibataire,Commercial,Cadre Commercial,8,9,5,2,Oui,0,3,1,19,3,Marketing,Aucun,0,4
3,3,4,4,3,3,3,Oui,13 %,55,F,16659,Célibataire,Consulting,Senior Manager,2,30,5,4,Non,0,2,1,2,3,Infra & Cloud,Occasionnel,1,2
4,3,2,3,4,4,3,Oui,12 %,24,F,4260,Divorcé(e),Commercial,Cadre Commercial,1,5,5,2,Non,1,2,1,10,4,Marketing,Occasionnel,0,3
3,3,1,2,1,3,3,Non,18 %,30,M,2476,Marié(e),Commercial,Représentant Commercial,1,1,1,0,Non,1,3,1,2,1,Entrepreunariat,Occasionnel,0,0
3,3,1,1,3,3,4,Non,22 %,26,M,3102,Célibataire,Consulting,Assistant de Direction,0,7,6,4,Oui,0,2,1,3,1,Entrepreunariat,Frequent,0,4
1,3,1,2,4,3,3,Non,13 %,22,F,2244,Marié(e),Consulting,Assistant de Direction,1,2,2,1,Non,1,1,1,11,3,Transformation Digitale,Occasionnel,1,2
2,2,3,3,2,3,3,Non,13 %,36,M,7596,Marié(e),Commercial,Cadre Commercial,1,10,10,9,Non,2,2,1,2,2,Transformation Digitale,Occasionnel,9,0
3,3,1,4,3,3,4,Oui,23 %,30,M,2285,Célibataire,Consulting,Assistant de Direction,9,3,1,0,Oui,0,4,1,4,3,Entrepreunariat,Frequent,0,0
4,3,1,1,3,2,3,Non,12 %,37,F,3034,Divorcé(e),Consulting,Consultant,1,18,18,7,Non,1,2,1,14,3,Infra & Cloud,Occasionnel,12,17
4,3,2,2,3,3,3,Non,12 %,40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,8,5,4,Non,2,5,1,2,2,Marketing,Occasionnel,1,3
2,3,1,1,2,3,3,Non,16 %,42,F,2576,Divorcé(e),Consulting,Consultant,3,8,5,2,Non,1,5,1,1,4,Infra & Cloud,Occasionnel,1,2
3,3,2,2,4,2,3,Oui,12 %,37,M,4197,Célibataire,Consulting,Tech Lead,2,18,1,0,Non,0,2,1,10,4,Infra & Cloud,Occasionnel,0,1
1,2,4,2,3,3,3,Non,11 %,43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,25,25,10,Non,1,3,1,12,3,Infra & Cloud,Occasionnel,3,9
2,2,2,3,2,3,4,Non,22 %,40,F,3448,Marié(e),Consulting,Consultant,6,20,1,0,Non,1,3,1,2,3,Transformation Digitale,Occasionnel,0,0
1,3,5,1,3,2,3,Non,11 %,54,M,19406,Marié(e),Consulting,Directeur Technique,4,24,4,2,Non,1,4,1,5,2,Transformation Digitale,Occasionnel,1,2
3,3,2,3,1,3,3,Non,15 %,34,F,6538,Marié(e),Commercial,Cadre Commercial,9,6,3,2,Non,1,3,1,4,4,Marketing,Aucun,1,2
2,3,2,1,2,1,3,Non,12 %,31,F,4306,Marié(e),Consulting,Tech Lead,1,13,13,10,Non,1,5,1,7,2,Transformation Digitale,Occasionnel,3,12
4,3,1,4,1,3,4,Non,20 %,43,M,2258,Marié(e),Consulting,Consultant,7,8,3,2,Non,1,1,1,21,3,Transformation Digitale,Frequent,1,2
3,3,2,3,4,3,3,Oui,14 %,43,F,4522,Divorcé(e),Consulting,Manager,4,8,5,2,Non,0,3,1,8,4,Autre,Occasionnel,0,2
2,2,2,4,2,3,3,Oui,11 %,25,F,4487,Célibataire,Commercial,Cadre Commercial,1,5,5,4,Non,0,3,1,4,2,Infra & Cloud,Occasionnel,1,3
2,3,2,3,1,3,3,Oui,15 %,37,F,4449,Marié(e),Consulting,Assistant de Direction,3,15,13,11,Non,2,2,1,25,5,Transformation Digitale,Aucun,10,7
4,2,1,1,3,3,3,Non,12 %,31,M,2218,Marié(e),Consulting,Consultant,1,4,4,2,Non,1,3,1,1,2,Infra & Cloud,Occasionnel,3,2
2,3,5,3,3,3,3,Oui,14 %,39,M,19197,Divorcé(e),Consulting,Senior Manager,1,21,21,8,Non,1,3,1,1,1,Infra & Cloud,Frequent,1,6
3,4,4,1,4,2,3,Non,11 %,56,F,13212,Marié(e),Commercial,Cadre Commercial,9,36,7,7,Non,3,0,1,6,3,Infra & Cloud,Frequent,7,7
2,3,2,3,2,3,3,Non,11 %,30,F,6577,Célibataire,Commercial,Cadre Commercial,0,6,5,4,Non,0,6,1,12,3,Entrepreunariat,Occasionnel,4,4
2,4,3,1,3,3,3,Non,16 %,41,M,8392,Marié(e),Commercial,Cadre Commercial,1,10,10,7,Non,1,2,1,1,3,Marketing,Occasionnel,0,7
3,3,2,1,4,3,3,Non,12 %,28,M,4558,Divorcé(e),Consulting,Consultant,1,10,10,0,Non,1,2,1,17,2,Transformation Digitale,Occasionnel,1,8
1,3,1,1,3,3,3,Non,13 %,25,M,4031,Marié(e),Consulting,Consultant,5,6,2,2,Oui,1,5,1,3,3,Transformation Digitale,Occasionnel,0,2
4,2,3,3,3,3,3,Oui,14 %,52,M,7969,Marié(e),Consulting,Tech Lead,2,28,5,4,Non,0,4,1,3,3,Transformation Digitale,Occasionnel,0,4
1,3,1,4,4,2,4,Non,21 %,45,M,2654,Marié(e),Consulting,Assistant de Direction,3,8,2,2,Non,2,3,1,10,2,Infra & Cloud,Occasionnel,0,2
4,3,4,4,4,1,3,Non,13 %,52,F,16555,Marié(e),Consulting,Senior Manager,2,31,5,2,Non,0,2,1,4,2,Infra & Cloud,Occasionnel,1,4
1,3,2,3,2,3,3,Non,11 %,42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,19,5,4,Non,1,3,1,29,2,Infra & Cloud,Frequent,0,2
3,1,2,4,3,3,4,Non,20 %,30,F,6091,Célibataire,Consulting,Tech Lead,2,11,5,4,Non,0,2,1,2,3,Infra & Cloud,Occasionnel,0,2
1,3,5,1,4,1,3,Non,11 %,60,F,19566,Marié(e),Consulting,Senior Manager,5,33,29,8,Non,0,5,1,7,3,Infra & Cloud,Occasionnel,11,10
3,3,2,3,3,2,3,Non,14 %,46,F,4810,Divorcé(e),Consulting,Tech Lead,2,19,10,7,Non,1,5,1,18,3,Transformation Digitale,Occasionnel,0,8
4,2,2,4,4,4,3,Non,11 %,42,F,4523,Marié(e),Consulting,Manager,0,7,6,5,Non,3,4,1,28,4,Entrepreunariat,Frequent,0,4
1,3,1,2,2,3,3,Oui,16 %,24,F,3202,Célibataire,Commercial,Représentant Commercial,1,6,5,3,Oui,0,4,1,1,1,Entrepreunariat,Occasionnel,1,4
4,1,1,3,4,2,3,Non,16 %,34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,3,2,2,Oui,1,3,1,6,2,Marketing,Frequent,1,0
4,3,1,4,3,3,4,Oui,23 %,38,M,1702,Marié(e),Consulting,Consultant,1,1,1,0,Non,1,3,1,2,2,Infra & Cloud,Frequent,0,0
3,3,5,3,4,3,3,Non,14 %,40,F,18041,Marié(e),Commercial,Senior Manager,0,21,20,15,Non,0,2,1,2,4,Infra & Cloud,Occasionnel,1,12
1,3,1,4,2,1,4,Non,22 %,26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,3,3,2,Non,2,3,1,23,3,Infra & Cloud,Occasionnel,0,2
3,3,1,4,3,1,3,Non,15 %,30,M,2097,Marié(e),Consulting,Consultant,4,9,5,3,Non,1,3,1,3,3,Infra & Cloud,Aucun,1,4
2,2,3,3,3,3,3,Non,18 %,29,M,11935,Marié(e),Consulting,Directeur Technique,1,10,10,2,Non,0,2,1,3,4,Transformation Digitale,Occasionnel,0,7
3,2,1,2,2,4,3,Non,16 %,29,F,2546,Marié(e),Consulting,Assistant de Direction,5,6,2,2,Oui,0,2,1,25,5,Entrepreunariat,Occasionnel,1,1
1,2,1,4,3,4,3,Non,12 %,19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1,0,Oui,0,3,1,2,2,Entrepreunariat,Occasionnel,0,0
3,3,3,1,3,3,3,Non,11 %,30,F,8412,Marié(e),Commercial,Cadre Commercial,0,10,9,8,Non,0,3,1,22,4,Autre,Aucun,7,8
1,2,4,4,3,2,3,Non,12 %,57,M,14118,Divorcé(e),Commercial,Senior Manager,3,32,1,0,Non,1,3,1,29,3,Marketing,Occasionnel,0,0
2,2,4,3,2,3,3,Non,15 %,50,M,17046,Marié(e),Consulting,Senior Manager,0,28,27,10,Non,1,2,1,29,4,Infra & Cloud,Occasionnel,15,7
3,3,1,4,3,2,3,Non,14 %,30,F,2564,Célibataire,Consulting,Consultant,0,12,11,7,Non,0,2,1,2,3,Transformation Digitale,Aucun,6,7
3,2,3,1,4,4,3,Non,19 %,60,F,10266,Marié(e),Commercial,Cadre Commercial,4,22,18,13,Non,0,5,1,28,3,Marketing,Frequent,13,11
1,3,2,4,3,3,3,Non,13 %,47,F,5070,Divorcé(e),Consulting,Tech Lead,5,20,5,0,Non,3,2,1,2,2,Transformation Digitale,Occasionnel,0,4
1,3,4,3,3,1,3,Non,13 %,46,M,17861,Marié(e),Consulting,Directeur Technique,6,26,3,2,Non,0,2,1,2,3,Infra & Cloud,Occasionnel,0,1
4,1,1,3,3,3,3,Non,15 %,35,M,4230,Célibataire,Consulting,Consultant,0,6,5,4,Non,0,2,1,22,3,Infra & Cloud,Occasionnel,4,3
3,3,2,3,3,3,3,Non,11 %,54,F,3780,Célibataire,Consulting,Consultant,7,19,1,0,Non,0,3,1,8,4,Infra & Cloud,Occasionnel,0,0
4,2,1,3,3,3,3,Non,12 %,34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,14,7,3,Non,1,3,1,2,4,Infra & Cloud,Occasionnel,5,7
3,2,3,4,3,3,3,Oui,19 %,46,F,9071,Marié(e),Commercial,Cadre Commercial,2,15,3,2,Non,1,3,1,10,3,Marketing,Occasionnel,1,2
3,3,3,2,4,4,4,Non,25 %,31,M,10648,Divorcé(e),Consulting,Tech Lead,1,13,13,8,Non,1,6,1,9,1,Infra & Cloud,Occasionnel,0,8
2,3,3,3,4,4,3,Oui,12 %,33,M,13610,Marié(e),Consulting,Senior Manager,7,15,7,6,Oui,0,2,1,15,1,Transformation Digitale,Occasionnel,7,7
1,1,1,4,1,3,3,Non,13 %,33,M,3408,Divorcé(e),Consulting,Consultant,7,8,4,3,Oui,3,2,1,10,1,Transformation Digitale,Occasionnel,1,3
4,3,1,2,1,3,3,Non,14 %,30,M,2983,Célibataire,Commercial,Représentant Commercial,0,4,3,2,Non,0,3,1,7,1,Marketing,Occasionnel,1,2
4,3,3,3,3,3,3,Oui,12 %,35,M,7632,Marié(e),Consulting,Manager,4,10,8,7,Non,0,2,1,16,3,Infra & Cloud,Occasionnel,0,0
1,3,3,3,1,3,3,Non,12 %,31,M,9824,Marié(e),Consulting,Manager,3,12,1,0,Oui,0,2,1,20,3,Infra & Cloud,Frequent,0,0
2,3,3,1,3,3,3,Oui,15 %,34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,11,3,2,Oui,3,2,1,23,3,Ressources Humaines,Frequent,0,2
2,3,1,3,4,3,3,Non,17 %,42,M,2093,Marié(e),Consulting,Consultant,4,8,2,2,Non,1,4,1,5,2,Autre,Frequent,2,0
2,3,3,4,4,2,3,Non,14 %,36,M,9980,Célibataire,Commercial,Cadre Commercial,1,10,10,3,Non,0,3,1,10,4,Transformation Digitale,Aucun,9,7
3,2,1,3,3,3,3,Non,16 %,22,M,3894,Célibataire,Consulting,Consultant,5,4,2,2,Oui,0,3,1,4,1,Entrepreunariat,Frequent,1,2
2,3,2,4,1,3,3,Non,14 %,48,F,4051,Marié(e),Commercial,Cadre Commercial,2,14,9,7,Non,1,2,1,2,5,Marketing,Occasionnel,6,7
1,3,4,2,4,3,4,Non,23 %,55,F,16835,Célibataire,Commercial,Senior Manager,3,37,10,9,Non,0,2,1,18,5,Infra & Cloud,Occasionnel,7,7
4,3,2,4,4,3,3,Non,14 %,41,M,6230,Célibataire,Commercial,Cadre Commercial,7,16,14,3,Non,0,3,1,10,2,Infra & Cloud,Aucun,1,10
2,3,2,3,3,3,3,Non,11 %,35,M,4717,Marié(e),Commercial,Cadre Commercial,9,15,11,9,Non,0,2,1,1,3,Marketing,Occasionnel,6,9
2,3,4,3,3,3,3,Non,15 %,40,F,13237,Célibataire,Consulting,Tech Lead,7,22,20,6,Non,0,3,1,6,3,Infra & Cloud,Occasionnel,5,13
3,3,1,3,1,3,3,Non,11 %,39,F,3755,Marié(e),Consulting,Consultant,1,8,8,3,Non,1,3,1,8,1,Infra & Cloud,Frequent,0,7
2,3,2,4,3,4,3,Oui,13 %,31,M,6582,Célibataire,Commercial,Cadre Commercial,4,10,6,5,Non,0,2,1,2,1,Infra & Cloud,Occasionnel,0,5
4,3,3,1,4,2,4,Oui,21 %,42,M,7406,Marié(e),Consulting,Tech Lead,1,10,10,9,Non,1,5,1,24,3,Transformation Digitale,Occasionnel,5,8
4,3,2,2,2,4,3,Non,19 %,45,M,4805,Marié(e),Commercial,Cadre Commercial,0,9,8,7,Non,1,3,1,2,3,Autre,Occasionnel,3,7
2,3,1,3,2,2,3,Oui,11 %,26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,8,7,7,Oui,1,2,1,17,4,Infra & Cloud,Frequent,1,0
4,3,2,4,2,4,3,Non,12 %,29,M,4262,Divorcé(e),Consulting,Tech Lead,4,8,3,2,Non,2,2,1,19,3,Entrepreunariat,Occasionnel,1,2
1,4,4,3,3,3,3,Non,19 %,33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,10,6,1,Non,1,2,1,1,5,Transformation Digitale,Occasionnel,0,5
3,2,3,4,3,2,4,Non,21 %,31,M,11557,Divorcé(e),Commercial,Senior Manager,9,10,5,4,Non,1,3,1,7,3,Infra & Cloud,Occasionnel,0,1
2,3,1,2,4,3,3,Oui,14 %,18,M,1878,Célibataire,Commercial,Représentant Commercial,1,0,0,0,Oui,0,3,1,5,3,Marketing,Frequent,0,0
3,1,3,1,3,3,3,Non,15 %,40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,20,1,0,Non,1,2,1,28,3,Autre,Aucun,0,1
1,2,2,3,1,3,3,Oui,17 %,41,F,6811,Célibataire,Consulting,Manager,2,10,8,7,Non,0,3,1,2,4,Autre,Aucun,0,7
1,3,2,3,1,3,3,Non,12 %,26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,8,0,0,Non,2,5,1,29,2,Transformation Digitale,Occasionnel,0,0
1,3,2,3,4,3,3,Non,16 %,35,F,4859,Célibataire,Commercial,Cadre Commercial,1,5,5,4,Non,0,3,1,1,3,Transformation Digitale,Occasionnel,0,3
4,4,2,4,4,3,3,Non,12 %,34,M,5337,Célibataire,Commercial,Cadre Commercial,1,10,10,7,Non,0,3,1,21,4,Infra & Cloud,Occasionnel,5,7
3,1,1,4,2,1,3,Oui,18 %,26,M,2340,Célibataire,Consulting,Consultant,1,1,1,0,Oui,0,3,1,24,3,Entrepreunariat,Occasionnel,0,0
2,3,3,4,4,4,3,Non,17 %,37,F,7491,Célibataire,Consulting,Tech Lead,4,12,6,5,Non,0,3,1,1,3,Entrepreunariat,Occasionnel,1,2
1,3,3,3,4,2,3,Non,11 %,46,F,10527,Marié(e),Consulting,Manager,5,28,2,2,Non,0,3,1,18,1,Transformation Digitale,Frequent,1,2
2,3,4,1,2,3,3,Non,16 %,41,F,16595,Marié(e),Commercial,Senior Manager,7,22,18,16,Non,1,2,1,2,5,Infra & Cloud,Occasionnel,11,8
1,3,3,2,4,3,3,Non,13 %,37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,9,9,5,Non,1,6,1,9,4,Transformation Digitale,Aucun,7,7
4,3,2,1,2,3,3,Oui,12 %,52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,18,10,9,Non,2,3,1,6,2,Entrepreunariat,Occasionnel,6,9
4,4,2,3,4,3,3,Non,12 %,32,M,4707,Marié(e),Commercial,Cadre Commercial,8,6,4,2,Oui,0,2,1,11,4,Autre,Aucun,1,2
4,3,1,4,3,3,3,Non,13 %,24,M,2400,Marié(e),Commercial,Représentant Commercial,0,3,2,2,Non,2,3,1,24,3,Transformation Digitale,Frequent,2,1
3,3,2,3,3,3,3,Non,19 %,38,F,9824,Marié(e),Consulting,Manager,3,18,1,0,Non,1,4,1,10,3,Transformation Digitale,Occasionnel,0,0
2,3,2,2,2,2,3,Non,12 %,37,F,6447,Marié(e),Consulting,Tech Lead,6,8,6,5,Non,1,2,1,1,4,Infra & Cloud,Occasionnel,4,3
4,2,5,3,3,3,3,Oui,17 %,49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,31,31,9,Non,1,5,1,18,4,Infra & Cloud,Occasionnel,0,9
2,4,1,4,2,3,3,Oui,11 %,24,M,2725,Marié(e),Consulting,Assistant de Direction,1,6,6,5,Non,2,3,1,23,3,Transformation Digitale,Occasionnel,1,4
1,3,2,2,4,4,4,Non,20 %,26,M,6272,Marié(e),Commercial,Cadre Commercial,1,6,5,3,Non,2,5,1,28,2,Marketing,Occasionnel,1,4
4,2,1,2,4,3,4,Non,21 %,24,M,2127,Marié(e),Consulting,Consultant,1,1,1,0,Non,1,2,1,17,2,Autre,Occasionnel,0,0
1,3,5,2,3,3,3,Non,11 %,50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,32,32,5,Non,1,2,1,3,3,Transformation Digitale,Frequent,10,7
2,3,1,3,3,3,3,Non,11 %,25,M,2096,Marié(e),Commercial,Représentant Commercial,1,7,7,4,Non,0,1,1,13,1,Transformation Digitale,Occasionnel,0,6
1,3,1,3,4,3,3,Oui,16 %,24,F,2886,Marié(e),Consulting,Consultant,1,6,6,3,Oui,1,4,1,7,3,Infra & Cloud,Frequent,1,2
2,2,1,1,3,4,3,Non,18 %,30,M,2033,Marié(e),Commercial,Représentant Commercial,1,1,1,0,Oui,1,2,1,12,4,Infra & Cloud,Frequent,0,0
2,2,1,4,4,3,3,Oui,13 %,34,M,3622,Marié(e),Consulting,Assistant de Direction,1,6,6,5,Non,1,3,1,1,2,Infra & Cloud,Occasionnel,1,3
2,3,2,1,3,1,3,Non,17 %,31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,9,3,1,Oui,0,2,1,13,4,Transformation Digitale,Occasionnel,1,2
1,2,2,4,4,3,3,Non,14 %,35,M,3681,Célibataire,Consulting,Consultant,4,9,3,2,Non,0,3,1,25,2,Autre,Occasionnel,0,2
1,4,2,4,4,4,4,Non,22 %,31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,Non,2,4,1,6,4,Transformation Digitale,Occasionnel,5,7
1,2,1,3,3,2,3,Non,12 %,27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,6,5,3,Non,2,5,1,6,4,Transformation Digitale,Occasionnel,0,3
4,3,2,3,3,2,3,Oui,11 %,37,M,9602,Marié(e),Commercial,Cadre Commercial,4,17,3,0,Non,1,3,1,2,3,Marketing,Occasionnel,1,0
4,2,1,2,4,4,3,Non,13 %,20,F,2836,Célibataire,Consulting,Assistant de Direction,1,1,1,0,Non,0,0,1,1,3,Infra & Cloud,Occasionnel,0,0
3,3,2,4,2,3,3,Non,13 %,42,F,4089,Marié(e),Consulting,Manager,1,10,10,2,Non,2,4,1,2,4,Infra & Cloud,Occasionnel,2,2
2,2,4,4,3,2,3,Oui,14 %,43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,21,1,0,Non,1,3,1,6,4,Autre,Occasionnel,0,0
3,3,1,1,4,2,3,Non,17 %,38,F,2619,Célibataire,Consulting,Assistant de Direction,3,8,0,0,Non,0,3,1,1,1,Infra & Cloud,Occasionnel,0,0
4,3,2,3,2,3,3,Oui,13 %,43,M,5679,Divorcé(e),Consulting,Consultant,3,10,8,7,Non,1,3,1,9,5,Transformation Digitale,Frequent,4,7
4,2,4,1,1,1,3,Non,11 %,48,F,15402,Marié(e),Consulting,Senior Manager,7,21,3,2,Non,1,3,1,1,4,Infra & Cloud,Occasionnel,0,2
1,2,2,3,2,4,3,Non,11 %,44,F,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,10,2,2,Non,0,1,1,1,4,Infra & Cloud,Occasionnel,0,2
3,3,1,3,4,3,3,Oui,18 %,34,F,2579,Divorcé(e),Commercial,Représentant Commercial,1,8,8,2,Non,2,3,1,14,3,Entrepreunariat,Occasionnel,0,6
3,3,1,1,2,3,3,Non,11 %,27,M,3041,Divorcé(e),Commercial,Représentant Commercial,0,5,4,3,Oui,1,3,1,2,1,Marketing,Occasionnel,0,2
3,3,1,3,3,3,3,Non,11 %,21,M,3447,Célibataire,Commercial,Représentant Commercial,1,3,3,2,Non,0,2,1,22,1,Entrepreunariat,Occasionnel,1,2
4,3,5,4,1,4,3,Oui,12 %,44,M,19513,Marié(e),Consulting,Senior Manager,4,26,2,2,Non,1,2,1,3,4,Autre,Occasionnel,0,1
1,3,1,3,4,3,4,Non,20 %,22,M,2773,Marié(e),Consulting,Assistant de Direction,0,3,2,2,Non,0,3,1,6,1,Transformation Digitale,Occasionnel,2,2
3,3,2,3,4,3,3,Non,12 %,33,M,7104,Divorcé(e),Commercial,Cadre Commercial,0,6,5,0,Non,0,3,1,8,4,Marketing,Occasionnel,1,2
1,3,2,4,4,2,3,Oui,12 %,32,F,6322,Marié(e),Consulting,Assistant de Direction,1,6,6,4,Non,1,2,1,9,4,Infra & Cloud,Occasionnel,0,5
3,3,1,3,3,3,4,Non,20 %,30,F,2083,Divorcé(e),Consulting,Assistant de Direction,1,1,1,0,Non,1,2,1,3,3,Transformation Digitale,Frequent,0,0
4,3,2,1,4,4,4,Non,20 %,53,F,8381,Célibataire,Commercial,Cadre Commercial,7,18,14,7,Non,0,2,1,1,1,Transformation Digitale,Occasionnel,8,10
2,3,1,4,4,2,3,Non,12 %,34,M,2691,Marié(e),Consulting,Assistant de Direction,1,10,10,9,Non,1,4,1,1,5,Infra & Cloud,Occasionnel,8,8
1,3,2,1,4,3,3,Non,14 %,45,F,4286,Marié(e),Commercial,Cadre Commercial,2,5,1,1,Oui,2,4,1,26,4,Infra & Cloud,Frequent,0,0
3,3,1,4,3,3,3,Oui,13 %,26,F,2659,Marié(e),Consulting,Consultant,1,3,3,2,Non,1,2,1,6,3,Infra & Cloud,Occasionnel,0,2
3,3,3,3,3,3,3,Non,15 %,37,M,9434,Marié(e),Consulting,Tech Lead,1,10,10,7,Non,1,2,1,3,3,Autre,Occasionnel,7,8
2,3,2,3,1,2,3,Non,14 %,29,F,5561,Marié(e),Commercial,Cadre Commercial,1,6,6,0,Non,1,5,1,3,2,Transformation Digitale,Occasionnel,1,2
